,categorie,nom_recette,ingredients,preparation,nb_etape
19,dessert,Crème Chantilly,"['50 cl de crème fraîche liquide attention', ' pas de crème allégée !!! cest la matière grasse qui fait que la chantilly prend ', ' 35 g de sucre glace']"," Ne sortir la crème fraîche qu'au moment de faire la Chantilly.Verser la crème dans un saladier. Ajouter le sucre glace. Battre la crème à l'aide d'un fouet électrique. Changer de vitesse (du plus lent au plus rapide) progressivement, toutes les 30 secondes environ. Laisser reposer au réfrigérateur 2 heures au minimum. Ne sortir qu'au moment de servir. Servir de préférence à l'aide d'une poche à douille (qui permet de donner une jolie apparence 'striée' à la crème).",4
22,dessert,Cheese cake (gâteau au fromage blanc) inratable ,"['250 g de biscuit petits bruns émiettés ', ' 125 g de beurre doux fondu ', ' 1/2 cuillère à café de muscade râpée si on aime ', ' 500 g de fromage blanc type faisselle ', ' 150 g de sucre semoule', ' 2 cuillère à soupe de farine', ' 3 oeuf', ' 25 cl de crème fraîche', ' cuillère à café dextrait de vanille ou dorange ou zeste de citron ... ']"," Préchauffez le four à 180°C (thermostat 6).Tapissez de papier sulfurisé et préalablement beurré un moule de 23 cm de diamètre. Idéalement, le fond du moule doit être amovible, sinon, laissez bien dépasser le papier pour démouler facilement le gâteau en tirant dessus.Mélangez les biscuits, la muscade et le beurre fondu. Tapissez le fond du moule de ce mélange en tassant bien avec le dos d'une cuillère. Placez au réfrigérateur.  Battez la faisselle au fouet jusqu'à ce qu'elle soit lisse, puis ajoutez le sucre et la farine et les oeufs un par un. Ajoutez ensuite la crème et le parfum de votre choix. Versez cette préparation sur la croûte biscuitée (si la croûte ""dépasse"" de la crème, enlevez le surplus à la cuillère, cela risque de brûler).  Enfournez pour 50-55 minutes de cuisson jusqu'à ce que la préparation au fromage soit ferme au toucher. Laissez refroidir, démoulez et servez frais.",6
24,dessert,Cupcakes natures,"['125 g de farine', ' 125 g de beurre', ' 125 g de sucre', ' 2 oeuf', ' 80 g de beurre fondu ', ' 80 g de sucre glace']"," Préparer les gâteaux : mélanger le beurre ramolli et le sucre. Battre les œufs en omelette. En mettre la moitié dans le mélange, remuer, puis mettre le reste et remuer à nouveau. Mettre la moitié de la farine dans le mélange et remuer, puis verser le reste petit à petit en remuant. Verser dans les petits compartiment en papier (qui se trouve en grande surface). Cuire 15 min minimum au four préchauffé à thermostat 5/6, selon votre four (150 à 180°C). Surveiller la cuisson. Préparer le glaçage : mélanger tous les ingrédients jusqu'à obtenir un joli glaçage épais. Sut les petits gâteaux cuits et refroidis, ajouter le glaçage avec une poche à douille (ou un sac congélation dont vous aurez coupé un coin) et décorer de petits bonbons ou de petits grains de sucre coloré. Placer au frais pendant 1 heure minimum.Ils se conservent très bien.",8
25,dessert,Clafoutis grand-mère aux cerises,"['600 g de cerise', ' 40 g de beurre semi-sel + 20 g pour le moule ', ' 4 oeuf', ' 20 cl de lait', ' 100 g de farine', ' 60 g de sucre en poudre', ' 1 sachet de sucre vanillé', ' 1 pincée de sel', ' sucre glace']"," Préchauffez le four à 210°C (thermostat 7).Lavez rapidement les cerises sous un filet d'eau fraîche, équeutez-les et égouttez-les. Personnellement j'enlève les noyaux, mais la recette traditionnelle veut qu'on les laisse, donc c'est à vous de voir si vous les laissez ou pas...Faites fondre les 40 g de beurre dans une petite casserole à fond épais. Mélangez dans un grand bol la farine, le sucre, le sel et le sucre vanillé. Incorporez les oeufs peu à peu puis le lait petit à petit en continuant de mélanger. Ajoutez le beurre fondu. Beurrez grassement le plat, rangez les cerises puis versez la pâte à clafoutis. Mettez au four pendant 10 mn à 210°C puis baissez à 180°C et cuisez encore 20 mn. Servez le clafoutis froid ou tiède, saupoudré de sucre glace.",3
26,dessert,Riz au lait de ma maman,"['1 l de lait', ' 100 g de riz blanc rond ', ' 5 cuillère à soupe de sucre', ' 1 sachet de sucre vanillé', ' 1 zeste de citron', ' orange ou de clémentine ']"," Faire bouillir le lait avec le sucre, le sucre vanillé et le zeste de votre choix (attention faire un ruban assez long pour le retirer facilement en fin de cuisson). Lorsque le lait bout, jeter le riz en pluie et baisser le feu pour que l'ébullition soit très lente, le riz doit cuire très lentement.  Lorque le riz affleure le lait, couper le feu et laisser refroidir ; le riz va finir de s'imbiber de lait en refroidissant.  On peut servir ce dessert tiède ou froid dans des ramequins avec un zeste de citron vert pour décorer le dessus.",4
27,dessert,Clafoutis aux cerises express,"['700 g de cerise bien mûres ', ' 2 oeuf + 2 jaunes doeufs ', ' 5 cuillère de farine 100 g ', ' 5 cuillère de sucre roux 100 g ', ' 1/4 l de lait 25 cl ', ' 60 g de beurre', ' 1 pincée de sel', ' 1 cuillère à café dextrait de vanille', ' 1 sachet de sucre vanillé facultatif ']"," Lavez et équeutez les cerises.  Allumez votre four à thermostat 6/7 (180/200°C). Dans un plat à tarte, mettez le beurre puis enfournez-le. Battez les oeufs en omelette, ajoutez la pincée de sel ainsi que le sucre. Mélangez bien (au fouet ou au robot). Ajoutez l'extrait de vanille, mélangez et jetez la farine en pluie. Mélangez bien jusqu'à obtenir un liquide épais et onctueux.  Sortez le beure fondu du four, ajoutez-le au liquide puis ajoutez le lait tout en remuant. Une fois mélangé, ajoutez les cerises à la préparation.  Avec un essuie-tout, étalez le beurre resté dans le plat pour le graisser, puis ajoutez la préparation. Ajoutez quelques noisettes de beurre par dessus.  Enfournez 45 mn (jusqu'à ce que le dessus commence à bien dorer). Dès la sortie du four, saupoudrez de sucre vanillé.  Servez tiède.",7
28,dessert,Tarte tatin,"['8 pomme golden bien jaunes ', ' 1 pâte feuilletée toute prête ou faite maison ', ' 2 sachet de sucre vanillé', ' cannelle', ' 100 g de beurre', ' 100 g de sucre en poudre']", Préchauffer le four à 180°C (thermostat 6).,
31,dessert,Mug cake fondant au chocolat,"['40 g de chocolat noir', ' 40 g de beurre', ' 30 g de sucre', ' 20 g de farine', ' 1 oeuf']"," Dans un mug, mettre les carrés de chocolat avec le beurre découpé en parcelles. Faire fondre 40 secondes au micro-ondes.  Mélanger à l'aide d'une cuillère et y ajouter le sucre puis l’œuf.  L'aspect un peu gélatineux qui peut y avoir est normal suite au blanc de l’œuf. Incorporer ensuite la farine, tout en mélangeant bien. Cuire de nouveau 40 secondes au micro-ondes, attendre un peu et déguster sans risques de se brûler les papilles.",6
33,dessert,Brownies aux noix,"['200 g de chocolat', ' 125 g de beurre', ' 200 g de sucre en poudre', ' 2 cuillère à soupe de farine', ' 1 cuillère à soupe de sucre glace', ' 1 grosse poignée de cerneau de noix', ' 4 oeuf frais ']"," Mettre le chocolat et le beurre en petits morceaux dans une casserole. Faire fondre au bain-marie tout en remuant. Retirer la casserole du feu, ajouter le sucre et mélanger. Allumer le four à 180°C (thermostat 6). Verser un oeuf entier dans la casserole et le mélanger aussitôt. Incorporer de la même façon les autres oeufs. Ajouter les 2 cuillères à soupe de farine tout en mélangeant. Casser les cerneaux de noix en 2 ou 3. Les mélanger à la pâte. Etaler la noix de beurre dans un moule rectangulaire. Verser la pâte dedans. Mettre le moule au four et laisser cuire 20 mn. Une fois cuit, sortir le gâteau du four et le laisser refroidir. Le démouler ensuite sur un plat. Couper le gâteau en 6 ou 8 carrés et saupoudrer de sucre glace.Vous pouvez aussi remplacer les cerneaux de noix, par des noix de Pécan.",9
46,dessert,Caramel facile,"['100 g de sucre', ' 2 cuillère à soupe deau']"," Dans une casserole, verser le sucre avec l'eau et mélanger sur feu moyen jusqu'à ce que le caramel apparaisse. S'utilise de suite après la cuisson terminée. Si vous désirez un caramel plus liquide, il suffit de rajouter de l'eau après la cuisson.",3
47,dessert,Crème brûlée,"['6 jaune doeuf', ' 40 cl de crème liquide', ' 25 cl de lait', ' 200 g de sucre']"," Faire bouillir le lait, ajouter la crème et le sucre hors du feu. Ajouter les jaunes d'oeufs, mettre à chauffer tout doucement (surtout ne pas bouillir), puis verser dans de petits plats individuels. Mettre au four au bain marie et laisser cuire doucement à 180°C environ 50 minutes. Laisser refroidir puis mettre dessus du  sucre roux et le brûler avec un petit chalumeau de cuisine.",3
48,dessert,Ganache au chocolat,"['25 cl de crème fraîche épaisse', ' 1 cuillère à soupe de sucre', ' 1 cuillère à soupe de beurre', ' 200 g de chocolat']"," Faire chauffer la crème avec le beurre et le sucre jusqu'à ébullition. Mélanger pour obtenir une préparation homogène.  Hors du feu, ajouter le chocolat en morceaux. Laisser reposer 5 min puis mélanger jusqu'à obtention d'une crème lisse.  Verser et étaler le nappage sur le gâteau.",4
50,dessert,Tarte au chocolat noir,"['200 g de farine', ' 100 g de beurre', ' 1 oeuf', ' 40 g de sucre', ' 1 pincée de sel', ' 200 g de chocolat noir', ' 20 cl de crème fraîche liquide', ' 8 cl de lait', ' 1 oeuf']"," Prévoir - 1 moule à tarte de 26 cm Préchauffer le four à 180° (thermostat 6). Préparer la pâte et la faire cuire à blanc 15 min, avec une feuille d'aluminium et des légumes secs, pour empêcher la pâte de gonfler. Faire fondre le chocolat avec la crème et le lait au micro-ondes. Remuer pour bien diluer le chocolat et laisser refroidir un peu. Lorsque le fond de pâte est cuit, mélanger l'oeuf battu au mélange chocolat-crème.  Verser le tout sur la pâte, et laisser cuire 10 minutes.",6
54,dessert,Muffins tout chocolat,"['120 g de farine avec levure incorporée ou ajoutez 1/2 sachet de levure chimique ', ' 60 g de sucre en poudre', ' 4 cuillère à soupe de lait écremé ', ' 1 oeuf entier + un blanc doeuf ', ' 50 g de beurre', ' 60 g de chocolat pour la pâte ', ' 100 g de chocolat pour les pépites ']"," Préchauffez le four à 200°C (thermostat 6-7). Faites fondre le beurre avec les 60 g de chocolat pour la pâte, ajoutez-y le lait puis le jaune d'oeuf et mélangez bien. Dans un saladier, mélangez la farine, le sucre et la levure puis incorporez la préparation au chocolat. Mélangez bien. Vous obtiendrez une pâte assez solide. Battez les blancs en neige avec une pincée de sel et incorporez-les délicatement à la pâte. Coupez les 100 g de chocolat en petits morceaux et mélangez-les à la pâte. Beurrez les moules et remplissez-les de pâte à la moitié. Faites cuire 10 à 15 min à 200°C. Laissez refroidir et démoulez.",10
55,dessert,Pâte à choux sucré ou salé,"['125 g de farine', ' 20 cl deau', ' 75 g de beurre', ' 3 oeuf', ' 1 pincée de sel', ' 1 cuillère à soupe de sucre pour les recettes sucrées ']"," Mettre dans une casserole, l'eau, la pincée de sel, le beurre et le sucre si la recette est sucrée. Faire bouillir le tout et y verser d'un seul coup toute la farine tamisée. Bien remuer à la spatule et la travailler environ 5 min à feu doux jusqu'à ce que la pâte se décolle des parois et forme une boule. Retirer du feu et laisser refroidir quelques minutes. Ajouter un à un les oeufs en travaillant énergiquement la pâte à chaque fois. Former les choux ou les éclairs à la cuillère ou à la poche à douille. Faire cuire au four à 180°C (thermostat 6), environ 15 min.",7
57,dessert,Chouquettes simples,"['1/4 l deau', ' 1/2 cuillère à café de sel', ' 1 cuillère à soupe de sucre en poudre', ' 80 g de beurre', ' 125 g de farine', ' 4 oeuf le volume des œufs doit être égal au volume deau ', ' sucre en gros cristaux ou casson ']"," Faire chauffer dans une casserole l'eau avec le sel, le sucre en poudre et le beurre. Quand ce dernier est fondu, verser d'un coup la farine et mélanger vigoureusement avec une cuillère en bois sur feux doux jusqu'à ce que la pâte se détache des parois de la casserole. Hors du feu, incorporer un œuf et mélanger jusqu'à complète absorption de celui-ci par la pâte. Procéder de la même manière pour les trois autres œufs. Préchauffer votre four à 200°C.  Déposer sur une plaque ou un lèche-frite recouvert de papier sulfurisé des cuillerées à café de pâte espacées de deux à trois centimètres puis disposer sur chaque quelques cristaux de sucre. Mettre au four à mi-hauteur pendant 15 minutes puis baisser le thermostat jusqu'à 175°C et laisser encore cuire 15 autres minutes (étape essentielle pour faire sécher les chouquettes et éviter qu'elles ne ramollissent à la sortie du four).",4
66,dessert,Pommes au four ,"['4 pomme style reinette ', ' sucre en poudre']", Préchauffer votre four à 180°C (thermostat 6).Equeutez les pommes. Placez les  dans un plat allant au four puis piquez-les avec une fourchette (environ 3 fois) Saupoudrez de sucre. Versez un verre d'eau au fond du plat. Mettre au four pendant environ 1/2 heure. Servir chaud !,6
70,dessert,donuts us,"['500 g de farine', ' 2 cuillère à café de levure chimique', ' 1/2 cuillère à café de sel', ' 1/2 cuillère à café de cannelle facultatif ', ' 1/4 cuillère à café de muscade facultatif ', ' 2 oeuf battus ', ' 175 g de sucre en poudre', ' 1 cuillère à café de vanille liquide ', ' 15 cl de lait', ' 1 cuillère à soupe de beurre fondu ']"," Mélanger la farine, la levure, le sel, la cannelle et la muscade.  Dans un autre bol, mélanger les oeufs (battus), le sucre et la vanille. Mélanger jusqu'à ce que le mélange soit épais. Mélanger le lait et le beurre fondu, y ajouter le mélange de farine et battre jusqu'à ce que le mélange soit homogène. Couvrir et mettre au réfrigérateur pendant 2 heures. Sur une planche farinée, étaler la pâte sur une épaisseur de 1 cm environ. Découper les donuts à l'aide d'un bol ou autre. Mettre à frire pendant une minute ou jusqu'à ce soit légerement doré puis retourner a l'aide d'un écumoire de l'autre coté et laisser cuire à nouveau une minute. Retirer de la friteuse et poser sur un papier absorbant.",7
76,dessert,Biscuits sablés au beurre,"['1 oeuf calibre a ', ' 120 g de sucre', ' 1 sachet de sucre vanillé', ' 250 g de farine', ' 125 g de beurre']"," Casser l'oeuf dans un saladier, y ajouter une pincée de sel, le sucre et le sucre vanillé. Mélanger avec une cuillère de bois jusqu'à ce que l'appareil blanchisse. Ajouter la farine, puis mélanger avec les doigts pour obtenir du sable. Ajouter le beurre et pétrir pour obtenir une pâte bien homogène. Frapper la pâte en la lançant d'une main à l'autre jusqu'à obtenir une boule régulière. Si la pâte semble trop grasse et molle, y rajouter un peu de farine.  Laisser reposer la pâte au réfrigérateur durant un quart d'heure. Préchauffer le four à 180°C (thermostat 6). Etaler de la farine sur la table et sur le rouleau à pâtisserie, puis étaler la pâte sur 5 millimètres d'épaisseur. Découper au couteau, à l'emporte-pièces ou avec un verre les formes que vous souhaitez. Poser ces formes sur une tôle beurrée ou recouverte de papier sulfurisé. Mettre à four durant 20 min.",9
79,dessert,Cookies aux pépites de chocolat super moelleux,"['250 g de beurre', ' 300 g de chocolat', ' 2 oeuf', ' 350 g de farine', ' 125 g de sucre semoule', ' 125 g de sucre brun ', ' 1 cuillère à café de levure en poudre ', ' sel']"," Travaillez le beurre mou avec les deux sucres jusqu'à obtention d'un mélange homogène. Ajoutez les œufs et mélangez bien. Joignez la farine tamisée, le sel et la levure en poudre. Mélangez à nouveau. Rajoutez les pépites de chocolat et mélangez. Recouvrez le plateau du four de papier cuisson ou sulfurisé, et à l'aide de 2 cuillères à café, disposez-y des petits tas de pâte de la valeur d'une noix. Veillez à bien les espacer car la pâte s'étale assez fort. Enfournez et comptez une dizaine de minutes de cuisson (four préchauffé à 180°C). Laissez les cookies cuits sur une grille pour les laisser refroidir. Bon appétit !",10
81,dessert,Tarte chocolat - poires facile,"['1 pâte sablée', ' 80 g de chocolat noir', ' 2 cuillère à soupe de lait', ' 3 oeuf', ' 6 cuillère à soupe de crème fraîche', ' 70 g de sucre', ' 1 grosse boîte de poire']"," Préchauffer le four à 180°C (thermostat 6). Faire fondre le chocolat avec le lait, dans une casserole (ou au micro-ondes). Ajouter 3 bonnes cuillères de crème fraîche, mélanger, et verser sur la pâte. Déposer ensuite les demi-poires sur le nappage. Mélanger les oeufs, le sucre et les 3 cuillères à soupe de crème fraîche restantes, puis le déposer sur le tout. Mettre au four pendant 30 min.",6
82,dessert,Pastéis de nata (Portugal),"['11 jaune doeuf', ' 1 l de lait', ' 500 g de sucre', ' 125 g de farine', ' 1 zeste de citron ou vanille ', ' 1 pincée de sel', ' pâte feuilletée']"," Mélanger dans une casserole le sucre, la farine, la vanille avec le lait et ajouter une pincée de sel. Faire cuire en remuant jusqu'à ce que la crème se détache de la spatule. Oter du feu et laisser refroidir quelques minutes.",
85,dessert,Oeufs au lait,"['1 l de lait entier', ' 6 oeuf', ' 6 cuillère à soupe de sucre']"," Faire chauffer le lait et le sucre jusqu'à ébullition. Mélanger les oeufs dans un bol. Dans un plat (qui va au four), mettre le lait sucré, puis ajouter les oeufs (mélanger vite il faut éviter de cuire les jaunes).  Mettre au four respectivement :=> 20 minutes à thermostat 4 (120°C)=> 10 minutes à thermostat 6 (180°C)=> 5 minutes thermostat 8 (240°C)",4
88,dessert,Tarte aux noix de pécan (american pie),"['110 g de beurre non salé ', ' 110 g de golden syrup ou de sirop d’érable : le goût de la tarte sera alors un peu plus prononcé ', ' 1 cuillère à café dextrait de vanille', ' 225 g de sucre roux', ' 3 oeuf', ' 300 g de noix de pecan ', ' 1 pâte brisée']"," Préchauffer le four à 180°C (thermostat 6). Couper le beurre en petits morceaux dans une casserole.  Ajouter le golden syrup (ou sirop d’érable), la vanille et le sucre. Faire fondre à feu doux. Laisser refroidir 10 minutes. Battre les œufs en omelette et les ajouter au mélange précédent. Bien mélanger au fouet (pas électrique). Mettre de côté 1 poignée de noix de pécan pour la décoration. Disposer les autres sur la pâte à tarte.  Verser la préparation délicatement sur les noix de pecan en prenant garde de ne pas les déplacer. Mettre au four pour 30 minutes environ.  Bien surveiller car ça peut aller plus vite selon les fours, ou alors nécessiter 10 minutes de plus...  La pâte doit être bien dorée et le dessus de la tarte pas trop desséché. Sortir la tarte du four et disposer joliment les noix de pecan réservées. Servir, tiède ou froid, avec de la chantilly ou avec une boule de glace à la vanille.  Mes enfants la préfèrent avec une cuillère à soupe de yaourt grec nature et non sucré, car la tarte est déjà bien sucrée !",14
90,dessert,Mille feuilles,"['500 g de pâte feuilletée', ' 1 oeuf', ' 1/4 l de lait', ' 50 g de sucre', ' 35 g de farine', ' 1 sachet de sucre vanillé', ' sucre glace', ' 1 chocolat']"," Abaisser la pâte feuilletée sur environ 3 mm. La piquer à la fourchette pour qu'elle ne gonfle pas puis la mettre au four sur 6, soit 180°C.  Pendant ce temps, préparer la crème pâtissière :  Mettre le lait à bouillir.  Pendant ce temps, mélanger dans un saladier l'oeuf, le sucre, le sucre vanillé et la farine.  Lorsque le lait est à ébullition, le verser immédiatement dans le saladier.  Remettre à cuire dans la casserole pendant quelques minutes afin que le liquide prenne la consistance d'une crème.  Lorsque la pâte feuilletée est cuite, et même désséchée, la couper en trois parties égales.  Etaler la crème pâtissière sur une première couche de pâte, puis faire de même avec une seconde. Les assembler.  Attendre que le gâteau soit froid pour étaler au pinceau le glacage, fait avec beaucoup de sucre glace mélangé à un peu d'eau. Réaliser un dessin avec le reste du glacage, mélangé à un carreau de chocolat fondu.  C'est prêt !",10
94,dessert,Eclairs au chocolat (rapide),"['2 cuillère à soupe de farine', ' 30 cl de lait', ' 50 g de beurre', ' 210 g de chocolat noir', ' 1 oeuf', ' 3 cuillère à soupe de sucre', ' 2 jaune doeuf', ' 150 g de farine', ' 25 cl deau', ' 75 g de beurre', ' 1 cuillère à soupe de sucre', ' 4 oeuf', ' 1 pincée de sel', ' 1 jaune doeuf', ' huile']"," Pour la pâte à choux: Préchauffer le four à 210°C (Thermostat 7). Mélanger sel, sucre, beurre et eau dans une casserole, et faire bouillir.  Intégrer la farine, et remuer jusqu'à l'obtention d'une pâte compacte. La travailler jusqu'à ce qu'elle soit suffisamment ferme  Intégrer 4 oeufs, un à un en veillant à bien mélanger entre chaque oeuf.  Travailler la pâte afin de la rendre ferme.  Sur un plaque allant au four préalablement huilée, répartir à l'aide de la poche à douille une dizaine de boudins de pâte de 15 cm de long environ.  Badigeonner avec le jaune d'œuf pour que la pâte soit dorée à la cuisson . Faire cuire 25 min à four chaud et laisser reposer 10 min, four éteint, pour éviter que les choux ou les éclairs  ne dégonflent. Pour la crème: Faire fondre 60 g de chocolat cassé en morceaux dans le lait, à feu doux . Dans un bol, fouetter oeuf, jaune et sucre jusqu'à ce que le mélange soit mousseux. Ajouter la farine et verser dans le lait chocolaté.  Faire épaissir sans cesser de remuer.  Hors du feu, intégrer 20 g de beurre. Laisser refroidir. Garnir de cette crème les éclairs coupés en 2 dans le sens de la longueur et  faire fondre au bain-marie le reste du chocolat et du beurre.  Napper le dessus des éclairs. Laisser durcir le glaçage avant de déguster.",17
