,categorie,nom_recette,ingredients,preparation,nb_etape
155,plat,Escalope milanaise (Italie),"['4 escalope de veau bien fine ', ' 10 biscotte pour la chapelure ', ' 20 g de farine', ' 1 oeuf', ' 1 citron']"," Préparer la chapelure:  Sur une planche à découper en bois casser en petits moceaux les biscottes (2 ou 3 pour commencer) puis écraser ses morceaux à l'aide d'une bouteille en verre en la faisant rouler dessus tout en appuyant. Battre l'oeuf dans une assiette à soupe. Répartir la farine sur une autre assiette. Prendre une escalope, la passer (des 2 côtés) dans la farine, la passer dans l'oeuf puis l'allonger d'un coté sur la chapelure.  Pour que la chapelure colle bien à l'escalope, appuyer sur celle-ci avec la paume de la main. Faire la même chose pour l'autre côté de l'escalope. Réaliser la même opération pour les autres escalopes, et faire la chapelure au fur et à mesure que vous en aurez besoin. Faire chauffer une poêle a feu vif avec un filet d'huile d'olive.  Lorsque l'huile est chaude, y faire cuire les escalopes quelques minutes de chaques côtés.  Saler, poivrer à votre goût et servir avec un filet de jus de citron.",10
168,plat,Pâtes fraîches,"['300 g de farine de blé 00 ', ' 100 g de farine de blé dur ', ' 4 oeuf', ' sel']"," Tamiser les farines dans un grand récipient.  Faire une fontaine assez large et y mettre au centre les oeufs et une pincée de sel. Mélanger les ingrédients à la fourchette puis travailler énergiquement la pâte pendant une dizaine de minutes. En faire ensuite une boule, l'envelopper dans un film transparent et laisser reposer 1/2 heure. Diviser ensuite la pâte en 3 ou 4 parts et la passer à la machine en commençant par l'épaisseur la plus importante pour finir par la plus fine. Laisser reposer 1/2 heure les bandes de pâte ainsi obtenues. Les repasser alors à la machine avec le rouleau approprié de façon à obtenir des tagliatelles de la largeur désirée. Les étendre au fur et à mesure sur un torchon légèrement fariné. Les recouvrir d'un autre torchon lui aussi légèrement fariné et les laisser reposer jusqu'au moment de les cuire dans une grande quantité d'eau salée.",6
175,plat,Pommes dauphines,"['500 g de pomme de terre', ' 125 g de farine', ' 75 g de beurre', ' 100 g deau', ' 4 oeuf', ' sel', ' huile de friture']"," Faites cuire les pommes de terre à l'eau bouilante salée environ 30 minutes (selon la taille). Pendant ce temps, préparez la pâte à choux : portez à ébullition 10 cl d'eau avec le beurre. Salez et versez d'un coup la farine, remuez énergiquement à la cuillère en bois jusqu'à ce que la pâte se détache des birds de la casserole. Laissez tiédir puis ajoutez les oeufs un à un, en mélangeant bien à chaque fois. Egouttez et pelez les pommes de terre, écrasez-les en purée fine et ajoutez-les à la pâte à choux. Salez et poivrez, puis laissez refroidir. Formez ensuite des petites boules de la taille d'une noix avec vos mains farinées, ou utilisez une poche à douille. Jetez-les dans l'huile de friture bien chaude par petites quantités et laissez dorer 1 min environ.",7
195,plat,Boudin noir poêlé aux pommes,"['250 g de boudin noir à loignon ou nature ', ' 3 pomme reinettes ou golden ', ' 1 citron', ' 20 g de beurre']"," Pelez les pommes et coupez-les en 4 .  Trempez les quartiers dans le jus du citron et réservez le jus que vous agrémenterez de sucre.  Coupez les quartiers encore en 2 .  Faites revenir les quartiers dans 15 g de beurre et couvrez la poêle (pour ne pas les dessécher et qu'ils collent).  Laissez dorer et retournez assez souvent.  Lorsque les quartiers commencent vraiment à se dessécher, verser petit à petit le jus de citron sucré (les pommes vont achever leur cuisson en caramélisant!).  Retournez les pommes pour obtenir une couche des 2 côtés et laisser cuire encore quelques minutes.  Réservez au chaud.  Pendant ce temps, dans une autre poêle, faites revenir dans le reste du beurre, vos 2 morceaux de boudin.  Il faut le saisir (feu fort) mais attention à la suite de la cuisson qui doit rester douce pour ne pas rompre le boyau.  Faites cuire le boudin de tous les côtés.  Lorsque le boyau s'est rétracté (aux extrémités) et que la surface est bien noire, servez le boudin, accompagné des pommes.",12
198,plat,Spaetzle,"['400 g de farine', ' 4 oeuf', ' 1/2 verre de moutarde deau ou de la biere ']", Dans un saladier mettre la farine puis les oeufs entiers et l'eau (ou de la biere c'est un peu moin sec au finale). Ensuite melanger le tout avec un fouet (l'ideal c'est d'avoir un robot qui melange tout seul!!)jusqu'à obtiention d'une pate homogene sans grumeau et pas liquide surtout! Faite chauffer une grande cassserole avec de l'eau et un kub or et des que l'eau est chaude vous pouver y verser la pate sois avec la rape speciale à spaetle ou sinon faut couper la pate sur une planche en petit morceau long de 2 ou 3cm et large de 0.5mm à vous de voir comment vous aimez. Attendre que ca remonte à la surface et les sortir avec un ecumoire puis les mettre dans une passoire et continuer jusqu'à ce que vous n'ayez plus de pate. Ensuite vous pouvez les griller dans une poele avec un peu d'huile ou les servir comme ca.,5
207,plat,Omelette aux violets,"['2 fruit de mer', ' artichaut ! ', ' 4 oeuf', ' bouquet de persil', ' huile dolive']"," sortir les violets de leur coque, les fouetter très fort dans un saladier,ou avec un mixer, jusqu'à obtenir un liquide mousseux. Fouetter les 4 oeufs jusqu'""au blanc"" Mélanger les deux préparations avec un peu de persil frais haché. Verser le tout dans une poële bien chaude, garnie d'huile d'olive. Retourner rapidement, servir l'omelette baveuse dans les assiettes préchauffées.",5
234,plat,Filet mignon de porc à la moutarde,"['1 filet mignon de porc de 600 à 700 g environ ', ' 25 cl de vin blanc sec', ' 1 bouillon cube légumes par exemple dilué dans de leau chaude ', ' 40 cl de crème fraîche', ' 500 g de champignon en boîte ', ' moutarde normale ou à lancienne ', ' huile dolive', ' beurre']"," Couper la viande en morceaux et mettre le mélange huile + beurre à chauffer. La faire dorer dans un mélange huile + beurre dans une cocotte. Retirer les morceaux de la cocotte et jeter le surplus de gras. Déglacer la cocotte avec le vin blanc, le bouillon cube, le jus des champignons et la crème (2/3 du pot). Tartiner le filet mignon de moutarde à l'ancienne et le remettre dans la cocotte avec les champignons. Cuire environ 30 min, à feu très doux. En fin de cuisson, ajouter le reste de crème, saler et poivrer. Bon appétit.",8
239,plat,tarte aux poireaux et au saumon frais,"['1 pâte feuilletée toute faite ', ' 3 poireau', ' 2 filet de saumon', ' 3 oeuf', ' 1 petit pot de crème fraîche 8 % ', ' fromage râpé facultatif ']"," Coupez les poireaux en rondelles (prendre le blanc et un petit peu de vert).  Défaire les rondelles une à une pour pouvoir bien les laver.  Faire cuire 20 mn les poireaux et le saumon à la vapeur.  Puis défaire le saumon sur la pâte préalablement piquée, mettre les poireaux par dessus.  Battre les oeufs, ajouter la crème et le fromage, sel et poivre (une pointe de noix de muscade est la bienvenue).  Recouvrir la tarte du mélange et laissez cuire 20 mn à 200°C.  A servir avec une salade.",7
280,plat,Soupe de poisson,"['30 g de poisson type sole ou merlan ', ' 1 carotte', ' 1 pomme de terre', ' 1 blanc de poireaux', ' 1 tomate', ' sel']"," Bien cuire le poisson à l'eau, prendre uniquement la chair et laisser à part. Bien nettoyer les légumes, épluchez- les, puis coupez-les en petits morceaux, puis mettez-les avec 50 cl d'eau et sel à cuire dans une casserole. Après la cuisson des légumes, ajoutez le poisson et passez le tout dans un mixer.",3
282,plat,Poulet en crapaudine sur lit de légumes d'été,"['1 poulet', ' huile olive ', ' 1 jus de citron', ' 3 gousse dail', ' brin de thym frais ', ' 2 cuillère à soupe de miel', ' 1 cuillère à café de curry en poudre ', ' 1 cuillère à café de cumin poudre et graines ', ' 8 pomme de terre type grenaille ', ' 4 tomate taille balle de golf… ', ' 1 courgette taillée en rondelles ', ' 1 poivron jaune', ' 1 poivron rouge', ' 1 aubergine', ' 1 fenouil', ' 1 orange']"," Installer le poulet sur la planche, poitrine vers le bas. Découper (avec ciseaux), du croupion jusqu’au cou en coupant à droite et à gauche de l’os. Ensuite ouvrir le poulet en séparant les deux moitiés. Appuyer très fort pour casser les jointures. Le retourner pour remettre le côté peau vers le haut.  Dans un bol, mettre le jus de citron, l’huile d’olive ainsi que le miel, le curry et les cumins. Presser les gousses d’ail. Ajouter dans le bol, le thym. Badigeonner le poulet avec cette préparation. Laisser mariner à température ambiante (20 minutes minimum). Poser le poulet sur une plaque de four, côté peau vers le haut. Enfourner à 180°C (thermostat 6) pendant 30/40 minutes en le retournant à mi-cuisson. Couper les légumes en morceaux. Disposer tous les légumes sur une plaque de four, les arroser de jus d’orange, d’huile d’olive, de sel et de poivre. Enfourner à 180°C pendant 30/40 minutes. Au bout de de ce temps, enlever le poulet de la plaque du four. En laissant les sucs du poulet, disposer les légumes (sans l’eau qu’ils ont faite) puis remettre le poulet dessus. Repasser au four 10/15 min. Poser le tout sur la table « à la bonne franquette » .",9
293,plat,Gratin de blettes,"['2 kg de bette à carde', ' 50 g de beurre', ' 40 g de farine', ' 50 cl de lait', ' 3 jaune doeuf', ' 75 g de fromage râpé', ' poivre et noix de muscade ', ' sel']"," Cuire les blettes 20 minutes à l'eau bouillante. Les égoutter et les couper en morceaux. Préchauffer le four à 210°C (thermostat 7). Beurrer un plat à four et y disposer les blettes.  Préparer la sauce béchamel : faire blondir la farine dans 30 g de beurre fondu sur feu moyen. Ajouter le lait, laisser épaissir en remuant puis assaisonner de sel, de poivre et de noix de muscade râpée. Hors du feu incorporer les jaunes d'oeufs et le gruyère. Verser la sauce sur les blettes et enfourner 20 minutes environ jusqu'à ce que le dessus soit doré.",6
315,plat,raviolis maison viande/chèvre,"['300 g de farine', ' 3 oeuf dont 1 jaune pour souder ', ' sel', ' 2 cuillère à café dhuile dolive', ' 1 tranche de jambon', ' 100 g de fromage de chèvre frais ', ' basilic']"," Battez les oeufs avec l'huile.  Versez les oeufs battus au centre de la farine et pétrissez, jusqu'à ce que la pâte soit homogène.  Continuez de pétrir pour développer l'élasticité de la pâte.  Couvrez et laissez reposer la pâte entre 30 min et 1 h.  Pendant ce temps, préparez la farce à raviolis: mixez la tranche de jambon et incorporez-la au fromage de chèvre frais. Assaisonnez de sel (peu), poivre et basilic.  Etendez au rouleau à pâtisserie la pâte le plus finement possible. Couvrez-la et laissez-la reposer 1 h au moins.  A l'aide d'un couteau, commencez à tracer les carrés sur la moitié de la pâte, pour faciliter la découpe des raviolis.  Garnissez de la farce.  Passez du jaune d'oeuf sur les parties qui seront à souder (bord des raviolis). Rabattez la seconde partie de pâte, et à l'aide de vos mains, soudez bien hermétiquement les raviolis autour de la farce.  Découpez les raviolis à l'aide d'une molette dentelée ou à défaut d'un couteau aiguisé. Faites chauffer un grand volume d'eau salée, plongez les raviolis dedans et laissez cuire 8 à 10 min environ.  Egouttez les raviolis et servez-les accompagnés de sauce de votre choix.  Exemples: - tomate/champignons  - sauce bolognaise  - sauce carbonnara - parmesan/basilic/poivrons Variantes: Pour la farce vous pouvez mettre du parmesan ou de la chair à saucisse (accompagné de sauce tomate, excellent!). A servir chaud. Bon appétit !",23
316,plat,Pâte à crêpes facile,"['250 g de farine', ' 2 oeuf', ' 25 cl de lait', ' 25 cl deau', ' 2 cuillère à soupe dhuile', ' 1 petite pincée de sel facultatif ']"," Mélanger le farine et les œufs, puis ajouter petit à petit le lait et l'eau. Bien mélanger pour ne pas avoir de grumeaux.  Ajouter l'huile et le sel (facultatif).",3
318,plat,Crevettes au curry express,"['300 g de crevette rose', ' 2 cuillère à soupe de crème', ' 1 cuillère à café de curry', ' 2 cuillère à café dhuile dolive']", Décortiquer les crevettes. Les faire revenir très rapidement dans l'huile d'olive en les saupoudrant de curry. Ajouter la crème et mélanger le tout. Servir immédiatement avec du riz thaï.,3
336,plat,La coca,"['6 poivron rouges et verts ', ' 1 oignon', ' 1 boîte de tomate pelée', ' 1 cuillère à soupe dhuile dolive', ' 1 pâte feuilletée']"," Dans une poêle, faites revenir l'oignon avec l'huile d'olive à feu moyen. Ajoutez les poivrons découpés en rectangles. Ajoutez les tomates pelées sans leur jus. Couvrez et laissez cuire 20 min à feu moyen. découvrez et laissez cuire encore une vingtaine de minutes pour faire réduire et éliminer l'eau. Préchauffez votre four à thermostat 7 (210°C). Etalez la pâte feuilletée. Etalez le mélange sur la pâte. Faites cuire 30 min au four. Servir tiède ou froid.",9
348,plat,Tacos (comment faire la  pâte),"['175 g de farine de blé ou de maïs ', ' 1 cuillère à soupe de sel', ' 10 cl deau tiède ']"," Mettre la farine dans un saladier, ajouter du sel.Ajouter lentement, tout en remuant, l'eau tiède. Travailler la pâte avec les mains, elle doit être moelleuse, et ne plus coller. Ensuite, la laisser reposer recouvert environ 15 min. Diviser la pâte en 8 portions indentiques. Etaler chaque morceau pour obtenir des galettes de 15 cm de diamètre environ. Préchauffer la poêle et, sans aujouter de graisse, cuire les tortillas environ 1 min, à température moyenne. Dès qu'elles commencent à gonfler, les aplatir pour qu'elles puissent cuire régulièrement. Elles sont prêtes dès qu'elles présentent des tâches brunes. On peut préparer les tortillas pour les tacos à l'avance et les congeler.",6
373,plat,Pâte à pizza pour four normal,"['100 g de farine', ' 2 cuillère à soupe dhuile dolive', ' levure de boulanger morceau de la taille dune grosse noisette ', ' 1 pincée de sel', ' 1 verre deau tiède ']"," Faire fondre la levure dans le saladier avec 1/2 verre d'eau tiède, mettre tous les autres ingrédients et bien pétrir pour obtenir une boule de pâte bien moelleuse mais qui ne colle plus aux doigts (rajouter de l'eau ou de la farine si nécessaire). Couvrir le saladier avec le torchon mouillé et laisser lever (la boule triple de volume). Temps nécessaire : 1 à 2 h s'il fait chaud et jusqu'à une nuit entière l'hiver. Au moment de faire la pizza, aplatir la boule avec le plat de la main puis l'étaler, mais surtout ne pas la pétrir à nouveau ! Pour l'étaler convenablement : la fariner, l'étaler un peu, la retourner et recommencer l'opération jusqu'à obtenir une galette fine et de la taille désirée. Garnir et cuire à four chaud (250 à 300°C) 15 min environ.",5
406,plat,Poireaux au jambon à la béchamel,"['6 tranche de jambon', ' 3 poireau moyens ', ' 50 g de beurre', ' 60 g de farine', ' 1/2 l de lait', ' fromage râpé']"," Faites cuire les blancs de poireaux à la vapeur, à l'eau ou au micro-ondes jusqu'à ce qu'ils soient tendres.  Préparez la béchamel : dans une casserole, faites fondre le beurre puis ajoutez la farine. Mélangez vigoureusement avec un fouet. Laissez cuire 2 mn puis versez petit à petit le lait tout en fouettant. Laissez cuire jusqu'à ce que le mélange épaississe et soit onctueux.  Coupez les poireaux en 2 cylindres égaux, roulez une tranche de jambon autour de chaque morceau.  Disposez-les dans un plat carré, étalez la béchamel sur les roulés et saupoudrez enfin de fromage râpé.  Laissez cuire au four (180°C) jusqu'à ce le fromage soit bien gratiné.",5
409,plat,Gratin de courgettes aux tomates,"['1.2 kg de courgette', ' 1.2 kg de tomate', ' sel', ' beurre', ' 150 g de fromage râpé', ' 3 gousse dail facultatif ']", Passer les légumes sous l'eau froide et les trancher avant de les saler pour les faire dégorger. Graisser un plat allant au four avec un peu de beurre et placer les tranches en alternant courgettes et tomates. Parsemer d'ail coupé finement et de fromage. Recommencer l'opération jusqu'à épuisement des ingrédients en prenant soin de recouvrir le dessus de fromage avec quelques petits morceaux de beurre. Mettre au four pendant 45 min à 180°C (thermostat 6) pour faire gratiner.,4
429,plat,Sauté de veau avec le Cookeo Moulinex,"['800 g de veau', ' 4 cuillère à soupe de fond de veau', ' 1 oignon', ' 250 cl deau', ' 50 cl de crème fraîche', ' 8 olive verte', ' 1 petite boîte de champignon environ 200 gr ']", Au Cookeo : Faire revenir la viande bien dorée. Ajouter les oignons + les champignons + les olives. Faire dorer à nouveau. Ajouter les 4 c à soupe de fond de veau + la crème fraiche et 250 cl d'eau.  Fermer le cookeo et laisser cuire 20mn et le tour est joué ! S'accompagne avec du riz ou des tagliatelles.,7
433,plat,Omelette Espagnole (Tortilla auténtica),"['4 pomme de terre moyennes 600 g ', ' 5 oeuf', ' 1/2 oignon', ' 1/2 poivron vert', ' huile dolive ou tournesol ', ' sel']"," Eplucher et couper les pommes de terre, ainsi que l'oignon et le poivron ; mettre le tout dans un saladier et saler. Chauffer dans une poêle une bonne quantité d'huile (presque un centimètre de profondeur). Egoutter l'eau qu'ont formé les pommes de terre et verser tout dans l'huile bien chaude. Laisser cuire 10 min à feu moyen en remuant de temps en temps. Battre les oeufs dans un saladier. Egoutter les pommes de terres, avec le poivron et l'oignon et le mélanger aux oeufs. Vider l'huile d'olive qui est restée dans la poêle, en laisser à peu près une cuillère à soupe pour y faire cuire l'omelette. Réchauffer la poêle, verser le mélange dans l'huile bien chaude.  Attendre 5 min et faire glisser l'omelette sur une assiette. La retourner en plaçant la poêle sur l'assiette et retourner d'un geste vif. Laisser cuire 5 min de l'autre côté. Déguster chaude ou froide.",7
457,plat,Rouelle de porc à l'ancienne,"['1 porc', ' 1 kg de pomme de terre', ' huile dolive', ' fond de veau']"," Mettre la rouelle dans un plat allant au four.  Disséminer tout autour des pommes de terres coupées en morceaux (moyens).  Arroser d'huile d'olive.  Enfourner à 180°C - 190°C pendant environ 45 min à 1 heure, en arrosant de jus (huile chaude) régulièrement pour éviter le déssèchement.  Sortir le plat et recouvrir de fond de veau en poudre (une bonne dose, selon les goûts).  Remettre au four environ 1/2 heure en arrosant régulièrement toujours pour la même raison. Quand la rouelle a pris une couleur ambrée et les pommes de terres sont cuites, servez avec un bon vin rouge.",7
468,plat,Rouelle de porc à la sauce tomate,"['1 porc', ' 1 oignon', ' 1 gousse dail', ' 1 petite boîte de champignon de paris', ' 2 cuillère à soupe dhuile dolive', ' 1 cuillère à soupe de double concentré de tomates en tube ', ' 10 cl de crème fraîche épaisse', ' huile dolive', ' 1 bouillon de légumes facultatif ']"," Ôter l'os de la rouelle. Faire chauffer l'huile d'olive dans une cocotte-minute et y ajouter l'oignon émincé pour le faire dorer. Ajouter la rouelle et la faire dorer de chaque côté. Quand elle est dorée, mélanger le double concentré de tomates dans 20 cl d'eau chaude et verser l'eau sur la rouelle. Ajouter les champignons de Paris et la gousse d'ail finement hachée. S'il manque du liquide, recouvrir la rouelle d'eau (ajouter éventuellement un demi cube de bouillon de légumes). Fermer la cocotte et laisser cuire 25 min à partir de la mise sous pression de la cocotte. A la fin de la cuisson, ajouter la crème fraiche et remuer.",8
500,plat,Blancs de poulet a la crème et aux champignons,"['4 blanc de poulet', ' 20 cl de crème fraîche liquide', ' 1 boîte de champignon']"," Faites fondre du beurre dans une casserole,  mettez-y ensuite les blancs de poulet jusqu'à ce qu'ils soient presque cuits. Mettez ensuite les champignons à cuire avec le poulet. Avant de servir verser la crème fraîche juste pour la chauffer un peu.  Servir chaud",2
532,plat,Quiche Poulet Oignons,"['1 pâte brisée', ' 6 oignon', ' 3 escalope de poulet', ' 5 oeuf', ' 30 cl de crème fraîche', ' 10 g de beurre']"," Mettre d'une part les oignons émincés à dorer dans du beurre. Les laisser cuire ensuite à feux doux 10 min.  Couper les escalopes de poulet en dés, les faire revenir dans une poêle, les assaisonner à votre goût.  Mélanger dans un plat les œufs et la crème. Y ajouter les oignons cuits et le poulet cuit. Mélanger.  Versez la préparation sur une pâte brisée que vous aurez préalablement piqué avec une fourchette.  Mettre au four à 170°C, 35 min environ.",5
571,plat,Riz à la chair à saucisse et tomates,"['250 g de chair à saucisse', ' 800 g de tomate', ' ail', ' persil', ' riz']"," Faire revenir la chair à saucisse dans un peu d'huile, l'émietter en tous petits morceaux. Ajouter l'ail et le persil hachés finement. Ajouter les tomates coupées en quartier. Faire mijoter doucement jusqu'à ce que les tomates soient bien cuites. Il doit y avoir beaucoup de sauce.  Faire cuire le riz à l'eau ; à moitié de sa cuisson normale, l'égoutter et finir de le cuire dans la chair à saucisse et les tomates. ",2
580,plat,Harcha nouvelle façon,"['500 g de semoule fine', ' 8 cl dhuile', ' 8 cl de beurre fondu ', ' 15 cl de lait un peu plus suivant labsorption de la semoule ', ' 1 cuillère à café de levure chimique', ' 1 pincée de sel']"," Mélanger la semoule avec le sel, l'huile, le beurre et la levure. Bien amalgamer le tout. Verser dessus le verre de lait sans mélanger mais en faisant un mouvement de rotation dans le bol qui contient la préparation. Laisser la semoule absorber le lait et commencer la cuisson sur feu doux sans matière grasse dans une poêle anti-adhésive. Retourner la ou les harchas à mi-cuisson.",4
583,plat,"Pommes de terre en robe des champs, sauce à la moutarde","['4 pomme de terre de taille moyenne ', ' 1 cuillère à soupe de moutarde', ' 2 cuillère à soupe de crème fraîche épaisse']"," Préchauffer le four à 200/250°C.  Laver les pommes de terre, les mettre sur la plaque du four sans les peler.  Les faire cuire pendant 25 à 30 mn environ, vérifier la cuisson en plantant la lame d'un couteau à l'intérieur.  Pendant ce temps là, mélanger dans un bol la moutarde et la crème fraîche. Vérifier si c'est assez ""piquant"".  Lorsque les pommes de terre sont cuites, les mettre sur des assiettes, les couper en 4 et mettre deux cuillères à café de sauce dessus.  Déguster bien chaud",6
