,categorie,nom_recette,ingredients,preparation,nb_etape
98,entree,Panisses de l'Estaque,"['250 g de farine de pois chiches ', ' 1 l deau', ' 3 cuillère dhuile dolive', ' 1 cuillère à soupe de sel fin ', ' huile darachide pour friture ']"," La seule difficulté c'est d'éviter les grumeaux! Tamiser la farine dans une casserole qui n'attache pas, commencer à verser l'eau FROIDE par petites quantités en touillant régulièrement avec une cuillère en bois (très important), rajouter le sel puis l'huile et continuer à verser l'eau. Cuire sur un feu pas trop vif SANS CESSER DE TOURNER jusqu'à ce que le mélange devienne très épais (attention aux éclaboussures de pâte !!). Verser rapidement dans les bols passés à l'eau et laisser refroidir au moins 6h. Démouler, couper les blocs en tranches fines (0,5cm) et faire frire à la poêle (c'est préférable au bain de friture). Quand les tranches sont dorées et croustillantes, les égoutter et déguster de suite (avec les doigts).  Si malgré toutes les précautions, il y a encore des grumeaux, passer le mélange -avant cuisson- dans une passoire à grille fine (genre chinois).",7
102,entree,Beurre maison,['1 l de crème liquide stérilisée ']," Mettre le litre de crème liquide dans un batteur électrique, laisser tourner jusqu'à ce que vous voyer apparaitre le beurre. Laisser tourner 5 minutes de plus, retirer le beurre du petit lait. Vous pouvez rajouter dans votre beurre de la confiture, du sel, des aromates (curry, paprika etc…).  Mouler le beurre et le mettre au frais. C’est un régale du beurre fait maison !!!",5
118,entree,Beignets de fleurs de courgettes et de courges,"['12 fleurs de courgettes et courges ', ' 80 g de farine', ' 15 cl de lait', ' 1 oeuf', ' 6 feuille de basilic frais', ' 1 pincée de sel', ' 1 cuillère à soupe dhuile dolive']"," J'ai testé plusieurs recettes de beignets de fleurs de courgettes et aucune ne m'a convaincue. Après plusieurs essais, je vous propose une pâte à frire fluide afin de laisser un minimum de pâte laissant la fleur apparente pour qu'elle exprime tout son arôme et sa texture. Cueillir les fleurs de courgettes mâles au niveau de la tige et l'on ne garde que la fleur en ôtant les parties rugueuses de la tige (tout ce qui est vert). Pour les fleurs femelles (au bout d'une future courgette), on ne prélève que la partie supérieure de la fleur en laissant la courgette intacte avec un centimètre de fleur. Quand c'est possible, le mieux est de ne pas laver les fleurs pour éviter les projections d'huile lors de la cuisson des beignets. Si les fleurs nécessitent un rinçage, veillez à bien les sécher avec du papier absorbant. Dans un saladier, mélanger la farine, le lait, le jaune d’œuf et la cuillère d'huile d'olive jusqu'à ce que le mélange devienne homogène Ajouter le basilic frais émincé et mélanger. Dans un bol, monter le blanc de l’œuf en neige auquel on a ajouté au préalable une pincée de sel. Incorporer délicatement le blanc en neige au mélange. Couvrir le fond d'une poêle d'huile d'olive et faire chauffer. Tremper chaque fleur de courgettes dans le mélange pour recouvrir toute la fleur et laisser égoutter pour enlever le surplus de façon à voir la couleur de la fleur. Déposer la fleur dans la poêle et faire cuire des deux côtés. Surveiller la cuisson pour que le beignet dore mais ne brûle pas. La cuisson est très rapide. Déguster chaud avec une salade en entrée ou en accompagnement du plat principal.",14
123,entree,Tarte à la tomate et au chèvre,"['150 g de farine', ' 75 g de beurre', ' 1/2 verre deau', ' sel', ' 3 tomate', ' 1 fromage de chèvre frais ', ' basilic frais', ' huile dolive', ' moutarde']"," Préparez le fond de tarte en mélangeant la farine et le sel avec le beurre coupé en petits morceaux. Emiettez rapidement pour obtenir un gros sable, ajoutez l'eau petit à petit. Il faut veiller à travailler la pâte le moins possible. Laissez reposer 15 minutes. Pendant ce temps, lavez et coupez les tomates en tranches, ciselez le basilic et coupez le chèvre en petits morceaux. Etalez la pâte dans un moule préalablement beurré (ou recouvert de papier sulfurisé). Badigeonnez le fond de moutarde (plus ou moins selon les gouts, mais on perd du piquant en cuisant). Disposez les rondelles de tomate pour recouvrir la pâte, puis les morceaux de chèvre. Parsemez de basilic,  nappez d'huile d'olive. Faites cuire à thermostat 6 (180°C) pendant 25 à 30 min. A table",12
140,entree,Cuisson des betteraves rouges à l'autocuiseur,['2 betterave par personne ']," Rincer les betteraves, juste pour éliminer la terre, y laisser un bout de queue 3 cm. Mettre dans le panier vapeur sur 5 cm d'eau, faire siffler la cocotte 15 à 20 min. Sortir le panier et laisser refroidir avant d'éplucher très facilement en portant des gants de ménage, la peau part toute seule entre les doigts. Propositions d'assaisonnement : Émincer les betteraves en rondelles à l'aide d'une mandoline ou d'un couteau, ou encore en cubes, en faisant faire des tranches de 1 cm d’épaisseur que l'on taille ensuite en bâtonnets, puis en cubes.  Assaisonner d'huile, de vinaigre (vinaigre au miel en Alsace de type melfort ou mielex), sel, poivre, 1 clou de girofle écrasé au mortier, quelques rondelles fines d’oignons et persil mouliné.",6
145,entree,Tomates à la mozzarella,"['2 tomate', ' 1 boule de mozzarella', ' basilic frais', ' huile dolive']"," Coupez les tomates en tranches fines, ainsi que la mozzarella et disposez-les sur les tomates. Arrosez d'un filet d'huile d'olive et ajoutez quelques feuilles de basilic frais.",1
148,entree,Velouté de fanes de carottes,"['botte de carotte nouvelles ', ' 1 oignon', ' 3 carotte nouvelles ', ' 3 pomme de terre nouvelles ', ' 1 cube de bouillon de légumes biologiques ', ' 1 cuillère à soupe de crème fraîche', ' 1 jaune doeuf', ' 1 l deau bouillante ']", Faire revenir les fanes de carottes hachées dans de l'huile d'olive avec l'oignon émincé. Ajouter les carottes et les pommes de terre en conservant la peau ( bien les laver ). Mettre l'eau bouillante et le bouillon de légumes.  Laisser cuire environ 20 à 30 min. Mixer puis émulsionner en ajoutant la crème fraiche et le jaune d'oeuf.,5
155,entree,Salade de riz au thon,"['400 g de riz blanc', ' 2 tomate ou 1 grosse ', ' 2 oeuf durs ', ' 3 feuille de salade laitue ', ' 200 g de thon au naturel conserve ', ' 4 bonne cuillère à soupe de mayonnaise', ' goutte de vinaigre de vin blanc 4 ou 5 ']"," Cuire le riz dans de l'eau bouillante salée. Pendant ce temps, couper les tomates, œufs et salade en petits morceaux et émietter le thon. Lorsque le riz est cuit, le passer sous l'eau froide pour le refroidir et bien l'égoutter.  Le verser dans un grand récipient puis y ajouter les tomates, le thon la salade et les œufs.  Bien mélanger puis ajouter la mayonnaise et les gouttes de vinaigre et bien mélanger le tout.",5
158,entree,Oeuf poché très simple (micro-ondes),"['1 oeuf', ' 4 cuillère à soupe deau', ' 1 pincée de gros sel']"," Dans un ramequin allant au micro-ondes, mettez 4 cuillères à soupe d'eau, 1 pincée de gros sel et votre œuf (sans la coquille). Passez le tout au micro-ondes à la puissance maxi pendant 45 secondes(ou 50-55 secondes si votre micro-ondes ne va pas au-delà de 900W). C'est prêt !",3
164,entree,Gazpacho Andaluz,"['1 kg de tomate bien mures ', ' 1 poivron vert italien 60 g environ ', ' 1 morceau de concombre 4 doigts environ ', ' 1 morceau doignon 100 g environ ', ' 1 petite gousse dail', ' 3 cuillère à soupe dhuile dolive', ' 1 cuillère à soupe de vinaigre', ' 1 cuillère à café rase de sel']"," Laver les tomates et le poivron.  Dans un mixeur mettre les tomates coupées en quartiers. Nettoyer le poivron (enlever la queue et les graines), le couper en 4 ou 5 et l’ajouter aux tomates.  Peler et couper en morceau le concombre, la gousse d’ail et l’oignon et les ajouter au reste des légumes. Mixer jusqu'à ce qu’il n’y est plus du tout de morceau, pour obtenir un mélange bien onctueux. Rajouter le sel, l’huile et le vinaigre. Mixer à nouveau. Goûter et rajouter sel, huile ou vinaigre à votre gout.  Si le gazpacho a la consistance qui vous plait passer à l’étape suivante. Sinon ajouter un peu d’eau à votre goût.  Attention si vous ajouter trop d’eau le gazpacho perdra du goût.",6
175,entree,Tchoutchouka,"['5 poivron rouge', ' 7 tomate', ' 1 gousse dail', ' 1/2 morceau de sucre', ' 1 poignée dolive verte dénoyautées ', ' huile de tournesol']"," Faire griller les poivrons au barbecue (moi j'utilise un barbecue electrique) ou au four. Les mettre directement sur la grille et faire noircir toute la peau des poivrons. Une fois noircis, les mettre un par un dans du papier journal ou dans un sac plastique hermétique jusqu'a ce qu'ils tiédissent. Une fois les poivrons tièdes, en retirer la peau (qui devrait partir facilement), les graines, puis les couper en lamelles d'environ 1cm de large. Couper les tomates en dés. Dans un faitout anti-adhésif, mettre un peu d'huile, les poivrons et les tomates, ainsi que l'ail haché, le morceau de sucre et les olive vertes (bien égoutées et coupées en deux). Faire cuire à grand feu pendant une vingtaine de minutes puis à petit ou moyen feu jusqu'à ce que la préparation commence à accrocher. Il ne doit plus y avoir d'eau.",5
177,entree,Chapati,"['250 g de farine de blé complet et quelques grammes supplémentaire pour lisser la pâte ', ' 1 cuillère à café de sel', ' eau tiède ']"," Tamiser la farine et disposer-la en couronne. Ajouter le sel et pétrir en ajoutant l'eau peu à peu. La quantité d'eau dépend de la qualité et du type de farine. Pétrir la pâte jusqu'à ce quelle soit bien lisse et élastique. Poser la dans un bol couvert d'un linge et laisser-la reposer deux heures. Au bout de ce temps, fariner ces mains et diviser la pâte en huit parts. Les former en forme de boule. Former des disques d'environ 15 cm de diamètre sur 3 mm de hauteur. Saupoudrer une poêle à fond épais de farine, faire chauffer. Mettre un disque de pâte, faire cuire 1 minute sur chaque face, retirer du feu. Prendre la galette et sans ce brûler, la passer au-dessus des flammes. La pâte gonfle et brunit par endroit. A consommer chaud, accompagner éventuellement de beurre.",7
179,entree,Poêlée d'aubergines à la provençale,"['600 g daubergine', ' 350 g de tomate', ' 2 gousse dail', ' 3 oignon', ' 50 g de fromage râpé', ' 3 cuillère à soupe dhuile dolive', ' feuille de basilic', ' gros sel']"," Coupez les aubergines en rondelles et faites-les dégorger 20 minutes dans une passoire en les saupoudrant de gros sel.  Rincez les aubergines, séchez-les puis faites-les revenir dans l'huile d'olive. Ajoutez l'ail et les oignons émincés ainsi que les tomates pelées et coupées en quartiers. Assaisonnez et laissez cuire 20-25 minutes. Avant de servir, saupoudrez de fromage râpé et de feuilles de basilic ciselée. Se déguste aussi bien chaud que froid.",3
183,entree,Baba ghanoush - Caviar d'aubergines (Liban),"['3 aubergine', ' 2 citron', ' 1 gousse dail par aubergine ', ' 125 ml de tahiné pâte de graines de sésame ', ' huile dolive']"," Préchauffer le grill.  Piquez sauvagement les aubergines avec une fourchette. Déposez les sur une plaque recouverte d'aluminium huilé. Mettre au grill à 10 cm environ de la résistance. Les tourner toutes les 15 min pendant 45 min ou jusqu'à ce que la peau soit ramollie. Les sortir du four.  Une fois refroidies, couper les en deux et séparer la chair de la peau avec une petite cuillère (on récupère ainsi la partie la plus parfumée du fruit). Mettre la pulpe dans une passoire et laisser égoutter 20 min.  Dans un mixeur, mettre ensemble le jus des citrons, l'ail et le tahini et du sel au goût. Mixer quelques secondes. Ajouter la pulpe et transformer en purée jusqu'à une consistance tartinable. Transférer le baba ghanoush dans un bol et ajouter un filet d'huile d'olive.  Servir le baba ghanoush avec des accompagnements tels que pain grillé, pitas et pain libanais...",6
212,entree,Pain de poisson,"['2 boîte de thon ou saumon ', ' 20 cl de crème fraîche', ' 6 oeuf', ' 1 petite boîte de concentré de tomates', ' 70 g de gruyère râpé']"," Battre les oeufs en omelette.   Ajouter la crème fraîche, le concentré de tomates, le gruyère puis le thon (ou saumon).  Beurrer un moule à cake et y verser la préparation.  Laisser cuire 1h15 au bain marie (Thermostat 6-7).",4
215,entree,Avocats au thon,"['2 avocat', ' 1 boîte de thon au naturel ', ' 3 cuillère à soupe de mayonnaise']", Coupez les avocats en deux. Ôtez les noyaux et découpez la chair en petits morceaux à l'aide d'une cuillère. Réservez. Emiettez le thon et mélangez-le avec la chair des avocats et la mayonnaise. Remplissez les avocats vides avec la préparation. Servez.,4
222,entree,Mousse de betterave,"['2 betterave sous vide ', ' 1/2 gousse dail', ' 1 tranche de pain de mie', ' 3 crème épaisse']"," Mixer les 2 betteraves sans le jus (mais le garder de côté au cas où vous trouvez le mélange trop épais)   Ajouter le demi gousse d'ail haché en petits morceaux, puis la créme épaisse et la tranche de pain de mie. Mixer jusqu'à obtenir une texture semi épaisse.  Ajouter le jus à ce moment là si votre mousse est trop épaisse.   Dresser dans des verrines, accompagner de quelques crevettes. Servir trés frais.",1
271,entree,Beignets de tomates vertes,"['90 g de farine', ' 1 cuillère à café de sel', ' 1/2 cuillère à café de poivre', ' 35 g de semoule', ' 1 oeuf', ' 18.5 cl de lait', ' 4 tomate moyennes environ 500g ', ' huile de friture']"," Tamiser la farine, le sel et le poivre dans une terrine. Ajouter la semoule. Faire un puit. Mélanger l'oeuf et le lait, verser peu à peu. Battre jusqu'à ce que la pâte soit homogène, sans trop la travailler. Couper les tomates en rondelles épaisses. Chauffer environ 1cm d'huile dans la poêle. Tremper les tomates dans la pâte, et égoutter. Faire frire 1 mn de chaque côté. Egoutter sur du papier absorbant et servir immédiatement.",5
275,entree,Velouté de panais et de courgettes,"['1 panais ou 2 petits ', ' 1 courgette', ' 3 pomme de terre', ' 1 oignon', ' lait ou crème fraîche ']"," Gratter le panais, et le couper en morceaux. Peler les pommes de terre, la courgette, et l'oignon. Les découper en morceaux. Faire rissoler dans la casserole 5 min, tous les légumes. Puis couvrir d'eau. Laisser cuire à feu moyen, pendant 30 minutes. Réduire au mixer, afin d'obtenir un velouté.  Le panais donne une consistance assez épaisse à cette soupe, vous pouvez donc la délayer avec du lait... Cependant, le goût du panais étant assez subtil, bien veiller à ne pas trop diluer ce velouté. Vous pouvez l'assaisonner, au choix, avec de la muscade, du cumin, du curry doux, ou de la coriandre...",7
276,entree,Verrine foie gras pommes et pain d'épices,"['4 pomme de type golden ', ' 4 tranche de foie gras', ' 2 tranche de pain dépices', ' 4 cuillère à café de confit de courgettes vous pouvez le remplacer par de la gelée au gewurztraminer', ' au riesling.. à un vin blanc ', ' beurre', ' 1 cuillère à soupe de sucre']"," Eplucher les pommes, les couper en lamelles et les faire revenir dans une poêle avec du beurre. Saupoudrer d'une cuillère à soupe de sucre et mélanger. Les laisser cuire à feu moyen environ 20 mn en retournant. Laisser refroidir. Couper les tranches de foie gras en copeaux. Monter votre verrine en commençant par placer une couche de pommes, le foie gras en copeaux, 1/2 tranche de pain d'épices émiettée et la cuillère de confit.",6
277,entree,pêches au thon,"['1 grosse boîte de thon blanc au naturel ', ' 1 grosse boîte de pêche', ' mayonnaise', ' persil', ' feuille de salade']", Mélanger le thon avec la mayonnaise et le persil.  Égoutter les demi-pêches et remplir le milieu de la préparation thon.  Présenter sur une grande assiette sur un lit de feuilles de salade.  Servir frais.  Bon appétit !!,5
279,entree,Salade fraicheur,"['100 g de mâche', ' 2 oeuf durs ', ' 4 tomate', ' 150 g de crevette rose décortiquées ', ' 250 g de maïs en boîte ', ' 2 cuillère à soupe dhuile dolive', ' 1 cuillère à soupe de vinaigre', ' sel']"," Lavez et coupez les feuilles de mâche.  Coupez les tomates en quartiers.  Dans un saladier, mélangez tous les ingrédients ensemble.  Assaisonnez avec l'huile, le vinaigre et le sel.",4
281,entree,Salmorejo (Andalousie),"['4 tomate bien mûres ', ' pain dur 10cm de baguette ', ' 2 cuillère à soupe dhuile dolive', ' 2 gousse dail dégermées ', ' 2 oeuf durs ', ' 2 tranche de jambon cru ']"," Peler les tomates, puis les couper. Oter la croûte du pain et le mouiller légèrement. Râper les oeufs dans un ramequin et couper le jambon cru en fines lamelles puis les déposer dans un autre ramequin. Mixer les tomates avec le pain, l'huile d'olive et l'ail. Servir le salmorejo dans des ramequins et chacun dépose un peu d'oeuf et de jambon dessus. Ce plat se mange avec une cuillère à soupe.",5
283,entree,Mousse d'avocats,"['2 avocat', ' 1 gousse dail', ' 1 oignon', ' 3 cuillère à café de crème fraîche', ' 2 cuillère à soupe de jus de citron', ' 2 cuillère à soupe de ketchup', ' 1 cuillère à café de ciboulette hâchée ']"," Mettre la chair d'avocats dans le récipient d'un miweur et y ajouter le jus de citron, l'ail et l'oignon. Mixer le tout et y ajouter le ketchup et la crème fraîche. Présenter dans des petits bols et y ajoutez un petit peu de ciboulette et une touche de ketchup. Laissez 1 h 30 au réfrigérateur et voilà le tour est joué !! Bon appétit.",5
292,entree,Wraps,"['400 g de farine', ' 15 cl deau', ' 1 petite cuillère de sel', ' 10 cl dhuile dolive']"," Commencer par mélanger la farine et le sel puis ajouter l'huile d'olive et mélanger le tout. Incorporer peu à peu l'eau et pétrir jusqu'à l'obtention d'une boule de pâte (si la pâte est réalisée au robot, celle-ci doit se décoller des parois). Former 8 petites boules de tailles égales et laisser lever 30 min environ couvert d'un linge humide. Étaler les boules en galettes très fines (c'est là que réside la difficulté, les galettes doivent être extrêmement fines). Faire chauffer une poêle à feu vif et faire cuire les galettes 30 secondes de chaque côté (en général, après la deuxième galette, 20 secondes par face suffisent). Laisser refroidir et farcir avec la garniture de votre choix. Rouler la galette et tailler en biseau les extrémités.",6
302,entree,salade de roquette au parmesan et pignons,"['300 g de roquette', ' 1 morceau de parmesan de 50 g ', ' pignons ou noix à volonté ']"," Nettoyer la roquette. Y ajouter dans un saladier des lamelles de parmesan (faciles à faire avec un économe). Mettre des pignons ou des noix.  Arroser d'une vinaigrette classique faite avec du vinaigre balsamique.  En été, on peut rajouter des lamelles de melon, c'est délicieux.",3
310,entree,"Verrines crevettes, avocat, pamplemousse rose","['1 sachet de crevette cuites surgelées ', ' 2 pamplemousse roses ', ' 1 avocat', ' 1 jaune doeuf', ' huile de tournesol', ' ketchup', ' 1 cuillère à café de whisky', ' moutarde', ' sel']"," Décongeler les crevettes. Couper l'avocat en petits morceaux. Couper les quartiers du pamplemousse en prenant bien soin de ne pas avoir de peau. En faire de petits morceaux également. Faire une mayonnaise avec l'oeuf, la moutarde et l'huile. Rajouter du ketchup pour rosir la mayonnaise et 1 cuillère à café de whisky. La sauce cocktail est prête. Mélanger tous les ingrédients et la sauce et remplir les verrines. Mettre au frais. A servir très frais.",10
318,entree,Oeufs mimosas au thon,"['10 oeuf', ' mayonnaise', ' 150 g de thon en miettes ', ' feuille de salade']"," Faire cuire les 10 œufs 10 à 15 minutes dans l'eau bouillante pour obtenir des œufs durs. Oter la coquille et les couper en 2 dans le sens de la longueur afin de faire deux petites parts pour chaque œuf. Séparer les jaunes en 2 parts égales dans deux récipients différents.  Egoutter le thon et l'émietter avec les doigts.  Mélanger avec une fourchette en écrasant bien une partie des jaunes d'œufs avec le thon et de la mayonnaise. Dresser les demi-œufs sur un plateau recouvert de feuilles de salade. A l'aide d'une cuillère à café, disposer généreusement le mélange dans chaque demi-œuf.  Puis, pour finir, passer le reste des jaunes d'œufs au moulin à fromage pour en recouvrir les œufs. Mettre le plat un peu au réfrigérateur et servir frais.",9
331,entree,Tarte au thon et moutarde,"['2 boîte de thon au naturel ', ' 150 g de gruyère râpé', ' 3 tomate', ' 3 cuillère à soupe de moutarde forte ', ' 1 pot de crème fraîche épaisse 30 cl ', ' 1 pâte feuilletée']"," Etaler la pâte feuilletée dans un moule de 30 cm. Etaler une couche de moutarde, puis une couche de thon émietté puis une couche de tomates coupées en rondelles pas trop fines, puis une couche de crème fraîche et enfin une couche de gruyère râpé. Enfourner pendant 30 mn à thermostat 8 (250°C).",3
332,entree,Salade crevettes et pamplemousse,"['100 g de crevette', ' 1 avocat', ' feuille de salade', ' 1/2 pamplemousse rose ', ' 1 pot de crème acidulée 15% ou de fromage blanc battu 0% ', ' 1 jus de citron', ' poivre et paprika ']"," Laver la salade, répatir quelques feuilles dans les assiettes. Peler l'avocat, enlever le noyau, le couper dans la longueur en fines lanières. Citronner pour pas qu'il noircisse. Déposer les lanières en rosace sur la salade. Mettre la crème dans un grand bol, poivrer, ajouter le paprika, le jus de citron et les crevettes. Peler les pamplemousse, enlever la peau blanche des quartiers afin de ne garder que la 'chair'. Ajouter délicatement aux crevettes. Garnir sur les feuilles de salade.",5
334,entree,Terrine aux deux saumons,"['200 g de saumon frais', ' 200 g de saumon fumé', ' 1 citron', ' 150 g de fromage frais', ' 2 cuillère à soupe dhuile dolive', ' ciboulette ou aneth ']"," Plonger pendant 5 mn les filets de saumon dans l'eau à ébullition. Egoutter, mettre dans une assiette et couper en petits morceaux, puis couper de la même manière le saumon fumé. Mixer les 2 saumons, y ajouter l'huile et le jus de citron. Ecraser le fromage à la fourchette, le saler et le poivrer. Ajouter le saumon au fromage, mettre dans une terrine, décorer avec l'aneth ou la ciboulette. Mettre au frais, servir le lendemain ou préparer le matin pour le soir.",4
356,entree,Crème Dubarry,"['1 chou-fleur', ' 30 g de beurre', ' 40 g de farine', ' 1.5 l deau', ' 1 verre de lait', ' 2 jaune doeuf', ' 10 cl de crème fraîche']"," Faire blanchir le chou-fleur 8 à 10 min. Préparer un petit roux composé de beurre et de farine, mouiller avec l'eau et quand elle bout, y placer le chou-fleur, puis finir de cuire très doucement.  Ecumer le potage et passer le tout au tamis très fin.  Remettre à bouillir avec le lait, lier avec jaunes d'oeufs et crème et garni de petits croûtons ou de petits bouquets de chou-fleur.  Ce potage doit être bien crémeux.",5
